ExchangeId,Effectivedate,Symbol,Open,High,Low,Close,Volume
NSE,26-02-2018,RELIANCE,939,944.9,936.6,938.7,3856478
NSE,27-02-2018,RELIANCE,939,955.8,938.35,950.5,6410097
NSE,28-02-2018,RELIANCE,945.95,957.1,943.2,954.55,25898694
NSE,01-03-2018,RELIANCE,949.75,959.9,945.95,948.4,4094652
NSE,05-03-2018,RELIANCE,943,950.15,921.6,924.1,5634893
NSE,06-03-2018,RELIANCE,929,936.2,905.1,910.85,7323680
NSE,07-03-2018,RELIANCE,909.25,909.25,888.05,889.75,7247708
NSE,08-03-2018,RELIANCE,897.65,914.5,893.3,911.45,6072983
NSE,09-03-2018,RELIANCE,914.9,919.35,911.05,913.1,4863577
NSE,12-03-2018,RELIANCE,920,933.1,917.55,930.3,3801407
NSE,13-03-2018,RELIANCE,931.9,936,921.35,931.85,5096825
NSE,14-03-2018,RELIANCE,928.8,932.05,919.2,929.05,6731530
NSE,15-03-2018,RELIANCE,925,929.45,910,911.8,5811424
NSE,16-03-2018,RELIANCE,909,909.7,886.05,900.05,14087564
NSE,19-03-2018,RELIANCE,901,906.9,892,895.5,5774392
NSE,20-03-2018,RELIANCE,893.3,904,887.05,889.8,6945721
NSE,21-03-2018,RELIANCE,894.85,902.35,893.3,896.9,6727261
NSE,22-03-2018,RELIANCE,896,911.95,895.75,908.15,10116965
NSE,23-03-2018,RELIANCE,890.6,900,889.1,893.9,10729694
NSE,26-03-2018,RELIANCE,893.95,904.3,892.5,901.1,6047262
NSE,27-03-2018,RELIANCE,907.2,910.75,897,899.8,6939577
NSE,28-03-2018,RELIANCE,895.8,895.85,880,882.7,8759586
NSE,02-04-2018,RELIANCE,893,900.95,886.5,892.95,5712065
NSE,03-04-2018,RELIANCE,891,901.7,885.25,899.55,6364728
NSE,04-04-2018,RELIANCE,904.7,911.8,892.05,894.9,6498407
NSE,05-04-2018,RELIANCE,905.1,910,903.5,908.2,3898676
NSE,06-04-2018,RELIANCE,908,918.5,905,911,4418462
NSE,09-04-2018,RELIANCE,912.55,919,912.55,916,3572251
NSE,10-04-2018,RELIANCE,918.4,923.9,914.15,917.05,3865402
NSE,11-04-2018,RELIANCE,921.8,932.75,916.05,930.85,6007539
NSE,12-04-2018,RELIANCE,929.85,936.65,924.2,928.7,4947725
NSE,13-04-2018,RELIANCE,932.7,941.7,928.7,938.85,5767984
NSE,16-04-2018,RELIANCE,934.45,940,928.5,937.05,4084450
NSE,17-04-2018,RELIANCE,940,947.2,936,944.25,4388713
NSE,18-04-2018,RELIANCE,945.25,948.2,935.05,938,3365196
NSE,19-04-2018,RELIANCE,939.1,945,935,942.3,4481413
NSE,20-04-2018,RELIANCE,938,941.85,921.2,927.9,3349519
NSE,23-04-2018,RELIANCE,930,944.35,928.5,936,3508515
NSE,24-04-2018,RELIANCE,935.8,975.7,935,970.05,9107264
NSE,25-04-2018,RELIANCE,973.65,981.8,963.55,970.5,6436620
NSE,26-04-2018,RELIANCE,973,988,962.25,975.35,15588001
NSE,27-04-2018,RELIANCE,989.8,1011,985.5,996.3,11666267
